date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:49:09	76513/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:48:55%20GMT	http://stylescss.free.fr/v2-properties/border-image-outset.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/border-image-outset.html	(from http://stylescss.free.fr/)
16:49:16	77240/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:49:04%20GMT	http://stylescss.free.fr/v2-properties/border-image-repeat.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/border-image-repeat.html	(from http://stylescss.free.fr/)
16:49:21	77563/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:49:07%20GMT	http://stylescss.free.fr/v2-properties/border-image-slice.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/border-image-slice.html	(from http://stylescss.free.fr/)
16:49:21	73562/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:49:08%20GMT	http://stylescss.free.fr/v2-properties/border-image-source.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/border-image-source.html	(from http://stylescss.free.fr/)
16:49:22	75682/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:49:08%20GMT	http://stylescss.free.fr/v2-properties/border-image-width.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/border-image-width.html	(from http://stylescss.free.fr/)
16:49:28	83886/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:49:14%20GMT	http://stylescss.free.fr/v2-properties/border-radius.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/border-radius.html	(from http://stylescss.free.fr/)
16:49:34	72838/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:49:20%20GMT	http://stylescss.free.fr/v2-properties/border-spacing.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/border-spacing.html	(from http://stylescss.free.fr/)
16:49:35	77185/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:49:21%20GMT	http://stylescss.free.fr/v2-properties/border-width.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/border-width.html	(from http://stylescss.free.fr/)
16:49:35	82186/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:49:21%20GMT	http://stylescss.free.fr/v2-properties/border-style.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/border-style.html	(from http://stylescss.free.fr/)
16:49:40	74883/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:49:27%20GMT	http://stylescss.free.fr/v2-properties/top-right-bottom-left.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/top-right-bottom-left.html	(from http://stylescss.free.fr/)
16:49:46	77336/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:49:32%20GMT	http://stylescss.free.fr/v2-properties/box-decoration-break.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/box-decoration-break.html	(from http://stylescss.free.fr/)
16:49:47	73616/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:49:34%20GMT	http://stylescss.free.fr/v2-properties/box-shadow.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/box-shadow.html	(from http://stylescss.free.fr/)
16:49:48	75670/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:49:34%20GMT	http://stylescss.free.fr/v2-properties/box-sizing.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/box-sizing.html	(from http://stylescss.free.fr/)
16:49:55	89013/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:49:39%20GMT	http://stylescss.free.fr/v2-properties/break-before-after.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/break-before-after.html	(from http://stylescss.free.fr/)
16:49:59	83328/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:49:44%20GMT	http://stylescss.free.fr/v2-properties/break-inside.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/break-inside.html	(from http://stylescss.free.fr/)
16:49:59	74999/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:49:46%20GMT	http://stylescss.free.fr/v2-properties/caption-side.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/caption-side.html	(from http://stylescss.free.fr/)
16:50:00	76952/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:49:46%20GMT	http://stylescss.free.fr/v2-properties/caret-color.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/caret-color.html	(from http://stylescss.free.fr/)
16:50:06	75379/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:49:53%20GMT	http://stylescss.free.fr/v2-properties/clear.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/clear.html	(from http://stylescss.free.fr/)
16:50:12	76420/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:49:58%20GMT	http://stylescss.free.fr/v2-properties/clip.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/clip.html	(from http://stylescss.free.fr/)
16:50:13	76519/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:49:59%20GMT	http://stylescss.free.fr/v2-properties/color.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/color.html	(from http://stylescss.free.fr/)
16:50:13	80661/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:49:58%20GMT	http://stylescss.free.fr/v2-properties/clip-path.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/clip-path.html	(from http://stylescss.free.fr/)
16:50:18	79062/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:50:04%20GMT	http://stylescss.free.fr/v2-properties/color-adjust.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/color-adjust.html	(from http://stylescss.free.fr/)
16:50:24	76244/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:50:10%20GMT	http://stylescss.free.fr/v2-properties/column-count.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/column-count.html	(from http://stylescss.free.fr/)
16:50:25	76620/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:50:11%20GMT	http://stylescss.free.fr/v2-properties/column-fill.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/column-fill.html	(from http://stylescss.free.fr/)
16:50:25	75375/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:50:12%20GMT	http://stylescss.free.fr/v2-properties/column-gap.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/column-gap.html	(from http://stylescss.free.fr/)
16:50:31	78020/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:50:18%20GMT	http://stylescss.free.fr/v2-properties/column-rule-color.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/column-rule-color.html	(from http://stylescss.free.fr/)
16:50:37	81639/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:50:22%20GMT	http://stylescss.free.fr/v2-properties/column-rule-style.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/column-rule-style.html	(from http://stylescss.free.fr/)
16:50:38	77302/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:50:24%20GMT	http://stylescss.free.fr/v2-properties/column-rule-width.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/column-rule-width.html	(from http://stylescss.free.fr/)
16:50:38	77170/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:50:24%20GMT	http://stylescss.free.fr/v2-properties/column-span.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/column-span.html	(from http://stylescss.free.fr/)
16:50:43	75496/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:50:30%20GMT	http://stylescss.free.fr/v2-properties/column-width.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/column-width.html	(from http://stylescss.free.fr/)
16:50:49	76183/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:50:35%20GMT	http://stylescss.free.fr/v2-properties/columns.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/columns.html	(from http://stylescss.free.fr/)
16:50:51	76912/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:50:37%20GMT	http://stylescss.free.fr/v2-properties/counter-reset-increment.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/counter-reset-increment.html	(from http://stylescss.free.fr/)
16:50:51	82583/-1	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2014:50:37%20GMT	http://stylescss.free.fr/v2-properties/content.php	C:/Mes%20Sites%20Web/freebdd_style.css/stylescss.free.fr/v2-properties/content.html	(from http://stylescss.free.fr/)
